Danish,English
er,is
jeg,I
det,that
du,you
ikke,no
at,yes
en,one
og,and
har,have
vi,we
til,to
på,on
hvad,what
mig,me
med,with
de,the
den,the
for,for
der,there
så,so
dig,you
han,he
kan,able to
af,of
vil,will
var,was
her,here
et,one
skal,shall
ved,by
men,but
om,about
nu,now
som,as
ja,Yes
min,mine
nej,no
noget,something
ham,him
hun,she
være,be
bare,Just
kom,came
din,your
hvor,where
os,U.S
dem,them
hvis,whose
ud,out
må,must
fra,from
se,see
godt,well
have,Garden
ville,would
gør,do
lige,just
okay,Okay
alle,all
op,up
lad,let
hvorfor,Why
tror,think
sig,Say
tak,thanks
hvordan,how
kommer,coming
få,few
kunne,could
gøre,do
meget,much
eller,or
hende,her
ingen,none
tilbage,back
hvem,who
gå,go
bliver,becomes
havde,had
efter,after
nok,enough
man,you
da,as
går,walks
alt,everything
sagde,said
mit,my
når,when
ind,Ind
vores,our
over,over
aldrig,never
nogen,anyone
måske,maybe
hans,his
skulle,should
mand,male
selv,self
to,thaw
mere,more
jo,Yes
jer,you
siger,say
også,also
lidt,little
dit,your
kun,only
deres,their
far,sheep
ser,SEE
blev,became
får,sheep
hej,Hi
sådan,such
dette,this
igen,again
sammen,together
denne,this
hele,all
hold,team
mine,my
tager,takes
ned,down
komme,come
dag,day
undskyld,sorry
tage,take
blive,be
mor,mother
væk,away
end,than
åh,Oh
sige,say
været,been
tid,time
fordi,because
helt,quite
sted,place
før,before
gjorde,did
god,good
gang,walk
år,year
tag,roof
laver,doing
mange,many
nogle,some
dine,yours
fik,got
mener,mean
ting,thing
lille,small
siden,since
altid,always
mr,mr
brug,use
folk,people
virkelig,really
vent,Wait
finde,find
anden,other
stadig,still
hjem,home
gud,God
liv,life
vej,way
kender,know
andre,others
klar,clear
tale,talk
mod,against
uden,Without
elsker,LOVE
set,seen
tre,three
hør,hear
ret,right
gerne,Gladly
hr,Sir
giv,Give
sir,Sir
sidste,last
tog,train
fanden,The fuck
intet,Nothing
død,death
fint,Fine
vel,well
nå,reach
jeres,your
lide,suffer
troede,thought
hendes,hers
hen,over
blevet,been
vide,know
gjort,done
sker,happens
bedre,better
ven,friend
første,first
hjælpe,help
vær,be
aften,evening
samme,same
andet,other things
hjælp,help
gik,went
vidste,knew
forstår,understand
arbejde,occupation
under,below
navn,name
sin,his
give,give
skat,treasure
eneste,only
høre,hear
penge,money
morgen,morning
endnu,yet
giver,Gives
burde,should
bedste,best
bruge,use
holde,hold
hey,Hey
synes,seem
sikker,sure
tro,believe
fortælle,tell
venner,friends
står,stands
stop,stop
sikkert,safe
nødt,need
længe,long
ok,OK
verden,world
engang,one time
taler,Speaking
stor,big
døde,died
hver,every
måde,manner
fyr,guy
ude,Out
hedder,called
finder,Finder
par,couple
store,Great
fandt,found
selvfølgelig,of course
fået,got
bange,afraid
skete,happened
først,first
snart,soon
næste,next
disse,these
holder,holder
øjeblik,moment
faktisk,actually
mænd,men
ihjel,to death
behøver,needs
betyder,means
pige,girl
hos,with
ellers,or else
flere,more
lort,Shit
gamle,Old
tiden,the time
ked,Sorry
søn,son
gode,excellent
hallo,Hello
prøver,Samples
ligesom,just like
stille,quietly
mennesker,people
rigtigt,right
dø,die
Jack,Jack
nye,New
børn,children
vist,shown
lave,make
minutter,minutes
lade,let
slå,beat
gav,gave
fem,five
huske,remember
galt,wrong
derfor,Therefore
orden,order
rigtig,correct
gange,times
pas,passport
helvede,hell
dage,days
kone,wife
fundet,found
alene,alone
farvel,Goodbye
møde,meet
taget,taken
allerede,already
bliv,Stay
hurtigt,quickly
én,one
herfra,from here
ønsker,wishes
ses,see ya
grund,reason
slags,kind of
kommet,Came
rolig,calm
hvilken,Which one
altså,So
bil,car
skyld,blame
familie,family
sagt,said
kvinde,woman
hørt,heard
fire,Four
venter,waiting
side,page
klare,pull off
hører,Hearing
vejen,the road
dræbe,kill
dreng,boy
hvornår,when
rundt,round
fortæl,tell
imod,against
arbejder,Works
dør,door
hellere,rather
frem,forward
senere,later
langt,long
del,share
hørte,heard
begge,both
håber,hope
længere,further
pis,Piss
fejl,error
bilen,the car
inden,before
nogensinde,ever
haft,had
Dr,DR
glad,glad
livet,life
sæt,set
kører,driving
heller,Neither
sket,happened
sandt,TRUE
hinanden,each other
næsten,almost
ny,new
inde,Inside
virker,works
leder,leader
hus,House
kæft,Shut up
ord,word
ingenting,nothing
politiet,the police
gået,gone
spørgsmål,questions
lang,long
pa,on
timer,hours
snakke,talk
lyder,Sounds
bag,Back
john,John
bror,brother
byen,the city
prøve,sample
kaptajn,captain
problem,problem
indtil,till
dog,However
tænkte,thought
videre,continue
sent,late
ben,leg
